step,loss
10,-0.02704845666885376
20,0.028868722915649413
30,0.07755673527717591
40,0.008287279307842255
50,-0.039963755011558535
60,0.04805482029914856
70,-0.05809755921363831
80,-0.014193156361579895
90,0.01602776348590851
100,-0.12744890451431273
110,-0.047928604483604434
120,-0.02323743999004364
130,-0.07391027808189392
140,-0.045116233825683597
150,-0.009566030651330947
160,0.00042289942502975463
170,0.008743324875831604
180,0.022146457433700563
190,0.02149154245853424
200,-0.03284385502338409
210,-0.001656319759786129
220,0.011468629539012908
230,-0.04804952740669251
240,0.028594279289245607
250,-0.006054607033729553
260,0.010031133890151978
270,0.04197655320167541
280,0.025242576003074647
290,-0.021803605556488036
300,-0.014260192215442658
310,0.05464174747467041
320,0.0018275849521160125
330,0.0015137966722249985
340,0.05217800736427307
350,-0.01135609596967697
360,0.032860377430915834
370,-0.012845112383365631
380,0.07432374954223633
390,-0.0022517092525959014
400,-0.021056157350540162
410,0.03515173196792602
420,0.023055587708950043
430,0.027522709965705872
440,-0.007550635188817978
450,0.015393435955047607
460,-0.0118479922413826
470,0.003450019657611847
480,0.031384947896003726
490,0.016445687413215636
500,0.03317996561527252
510,0.042253035306930545
520,0.03142109513282776
530,0.0002422332763671875
540,0.022410203516483308
550,0.011915253102779388
560,0.014573732018470764
570,0.03457292914390564
580,0.039735785126686095
590,0.023578986525535583
600,0.004751763492822647
610,-0.027823370695114136
620,0.00706503838300705
630,0.009402061253786087
640,0.010245595872402192
650,-0.04439688920974731
660,-0.03702910840511322
670,0.025680235028266905
680,0.05705746412277222
690,0.008855687081813812
700,0.07083474397659302
710,0.007752908021211624
720,0.020467182993888854
730,-0.006442111730575561
740,0.005870462954044342
750,-0.06067819595336914
760,0.033427610993385315
770,0.07687824964523315
780,0.056020301580429074
790,-0.0035681262612342834
800,0.03959705233573914
810,0.004842419922351837
820,0.02080129086971283
830,-0.03288444578647613
840,-0.0028739079833030702
850,0.028932201862335204
860,0.08808594942092896
870,-0.0072282619774341585
880,0.0014403112232685088
890,0.025117939710617064
900,0.05190897583961487
910,0.0488123893737793
920,0.021074454486370086
930,0.014126026630401611
940,-0.044364136457443235
950,0.09971536993980408
960,-0.005057032406330109
970,0.017094692587852477
